distance_km,warehouse_load,order_hour,items_count,weather_risk,carrier_delay_rate,target
23.51,7,3,1,3,51.32,1
11.15,3,3,0,1,79.04,1
27.63,5,3,6,3,54.76,1
31.2,1,2,6,3,26.98,1
26.48,5,4,3,3,53.19,1
30.01,2,1,2,2,66.95,0
20.77,1,4,3,3,11.82,0
30.03,2,5,5,1,20.22,0
18.48,1,4,2,4,71.53,0
25.4,0,1,0,1,79.72,1
34.37,1,1,2,4,74.72,1
12.2,0,3,1,2,70.42,1
10.67,6,3,2,1,18.5,1
17.26,2,3,0,1,31.54,1
41.05,6,3,4,3,89.59,0
42.98,3,0,0,1,37.74,0
108.94,1,2,4,5,38.41,0
82.59,2,1,4,2,41.82,0
22.27,3,5,4,3,56.12,0
23.94,5,6,4,1,75.99,1
15.19,1,6,1,2,23.74,0
29.56,1,4,3,3,39.47,1
11.04,6,2,5,3,27.08,0
16.51,3,2,2,4,92.76,1
14.32,4,2,5,3,76.21,1
30.58,0,5,4,5,55.57,1
59.19,3,1,3,3,41.03,1
35.4,2,4,7,2,72.11,1
14.56,2,3,3,1,64.16,0
32.8,4,6,2,5,59.21,0
49.56,1,6,3,3,45.38,1
57.85,5,9,2,1,29.44,1
36.06,4,1,4,4,57.61,1
64.7,1,5,3,2,28.98,0
16.05,3,2,3,1,34.38,0
95.32,3,7,4,1,58.18,0
22.34,2,2,0,3,23.05,1
45.5,1,1,2,3,10.15,0
61.96,2,9,0,2,55.0,0
18.8,5,2,4,3,42.24,1
47.13,2,4,6,3,42.05,0
32.78,2,2,0,5,72.14,0
11.42,2,4,2,1,64.84,1
23.26,2,1,4,3,37.95,0
48.63,3,4,3,4,32.61,0
26.98,0,2,2,5,50.35,1
35.13,2,2,4,1,46.0,1
15.6,3,1,7,2,60.37,1
7.36,5,3,0,1,64.06,1
8.51,0,3,2,4,31.47,0
34.89,3,2,3,2,47.46,1
26.03,4,6,4,3,49.85,1
21.92,5,5,2,2,40.24,1
32.12,4,4,2,3,19.58,1
37.92,2,3,3,3,50.84,1
11.48,3,1,1,5,30.89,1
24.11,1,2,3,2,53.61,1
35.08,2,2,2,3,60.85,1
65.29,1,5,3,4,44.76,0
22.25,2,3,2,4,52.11,1
7.62,2,3,3,3,65.43,1
19.76,3,2,1,2,100.0,1
18.57,2,5,2,4,100.0,0
33.55,1,2,3,1,38.1,0
16.48,3,4,0,3,36.44,0
12.23,8,6,4,4,29.19,1
55.78,2,3,0,4,52.91,0
10.93,1,2,2,1,22.92,1
11.19,4,4,5,1,32.83,1
24.87,3,1,4,5,24.11,1
13.52,1,3,3,1,66.26,0
18.35,1,0,1,4,45.7,0
62.36,0,3,2,2,51.35,0
12.84,1,1,6,5,44.2,1
34.15,2,2,2,2,38.63,1
19.17,4,0,4,1,50.6,0
18.65,1,4,2,2,0.0,0
17.41,3,2,1,1,9.0,0
5.76,3,3,4,5,22.64,0
16.93,4,3,3,5,59.48,1
11.52,3,5,1,1,47.85,1
7.23,3,2,4,2,61.18,1
34.08,6,4,5,4,22.41,0
29.11,4,1,1,3,32.22,0
17.01,2,1,4,3,42.29,0
51.35,1,4,4,5,59.99,0
5.84,3,4,3,5,55.24,0
126.05,2,5,3,1,42.61,0
43.42,4,1,4,5,63.49,0
42.86,3,5,2,4,43.3,0
19.71,4,3,4,5,29.14,1
35.19,4,4,4,1,16.58,1
20.96,2,2,0,5,43.07,0
14.74,4,3,5,5,18.22,1
8.72,6,3,3,5,53.8,1
9.77,4,3,4,5,37.92,1
31.89,3,0,1,1,27.18,0
24.13,3,1,0,3,56.04,1
45.87,3,4,0,5,72.16,0
29.02,3,4,7,5,27.73,0
32.76,4,2,3,5,16.83,1
19.42,6,1,5,4,14.13,1
22.35,1,3,1,1,73.19,0
15.29,5,3,4,5,51.87,0
48.07,1,3,5,3,42.61,1
12.08,4,6,6,1,61.42,0
29.57,2,2,5,5,67.31,0
29.13,2,1,0,2,60.16,1
40.29,0,4,1,2,75.96,1
11.05,4,1,1,5,86.8,0
28.77,2,3,3,4,73.32,1
16.52,1,1,3,1,71.46,1
19.8,2,2,4,4,52.01,0
28.31,3,0,2,2,66.0,1
16.15,4,2,3,2,21.55,1
113.46,6,4,2,4,26.25,0
15.21,5,5,4,1,62.97,1
42.1,5,2,7,1,53.85,1
73.72,3,1,2,5,65.6,0
35.84,5,2,5,2,45.51,1
60.77,0,4,0,4,22.79,1
10.17,3,2,5,1,100.0,1
33.91,3,4,5,2,66.18,1
32.14,3,1,3,1,43.61,1
39.27,5,3,2,2,74.78,1
41.49,2,2,1,3,47.69,0
28.45,5,1,4,1,55.39,0
21.68,4,2,3,5,41.74,0
12.68,5,1,3,5,55.08,1
16.0,5,4,4,5,55.21,1
49.04,3,8,4,2,56.48,0
29.59,8,5,2,5,65.38,1
22.36,4,5,7,4,46.84,1
22.27,5,2,2,4,100.0,1
6.84,1,0,5,1,17.44,1
10.74,1,4,1,5,71.05,0
27.24,4,1,1,1,62.36,0
13.81,2,1,2,4,71.69,1
51.97,6,1,3,5,53.81,0
113.95,1,3,9,4,38.21,0
27.65,2,5,1,5,65.59,0
26.85,2,2,3,4,65.81,1
15.4,1,2,1,3,64.14,1
15.43,4,2,3,1,20.99,0
37.18,2,1,1,2,56.14,0
89.84,1,2,3,2,47.36,0
16.53,1,3,5,5,27.63,0
43.57,2,4,0,5,47.18,0
32.86,1,4,2,2,21.64,1
18.43,1,3,4,1,66.44,0
9.27,1,3,2,5,63.19,0
37.5,3,1,1,4,63.01,1
16.3,2,3,4,2,76.94,1
39.23,2,3,1,3,36.41,0
6.13,2,3,6,4,54.64,1
13.02,2,2,6,2,32.1,0
25.16,2,5,4,1,58.85,1
60.63,3,4,7,3,48.87,1
38.52,3,4,4,4,37.2,0
29.91,5,3,4,3,57.68,1
24.26,3,5,1,3,34.15,0
97.12,1,6,1,2,53.62,0
17.49,2,5,4,2,73.3,1
29.89,4,3,6,3,84.01,1
23.07,4,4,0,3,43.11,1
30.99,1,8,1,5,28.59,0
91.18,0,3,3,5,71.61,0
50.41,2,2,2,3,76.14,0
17.66,6,1,3,5,85.7,1
32.85,5,5,3,3,33.07,0
19.5,1,1,3,1,10.63,0
19.98,5,6,1,2,30.26,1
162.0,6,2,7,5,41.54,0
25.45,3,2,4,4,38.96,0
26.63,2,4,2,5,44.15,1
68.26,1,5,5,5,75.32,1
27.11,3,1,0,2,44.21,1
70.46,2,3,2,2,49.79,1
24.29,2,4,1,2,38.76,0
17.89,1,3,3,1,46.25,1
43.76,2,5,4,4,55.62,1
49.64,5,6,2,3,64.42,0
28.31,4,0,3,3,22.76,0
6.86,2,1,3,3,31.31,1
13.85,2,3,1,5,71.31,1
22.25,4,2,3,1,68.2,1
51.77,2,5,3,3,55.29,1
31.07,5,4,2,3,43.36,0
25.45,4,3,3,5,46.22,0
62.61,1,2,5,2,61.4,0
67.82,4,2,2,2,48.85,1
42.11,5,1,3,2,47.27,1
22.51,4,0,1,4,62.11,0
13.36,5,2,3,2,66.16,1
74.97,2,4,3,3,65.67,1
10.22,4,4,1,3,52.84,1
33.63,3,3,1,1,75.26,0
35.16,3,1,1,5,69.48,1
31.31,0,4,2,4,65.12,1
110.42,5,1,3,2,66.35,1
10.69,2,6,2,5,47.55,0
40.47,2,5,4,2,42.75,0
15.49,4,2,4,4,50.53,1
31.38,3,2,5,2,45.32,1
34.58,5,6,4,4,36.72,0
13.09,3,2,1,1,43.86,1
11.89,2,3,1,5,48.55,1
28.68,2,2,2,2,48.58,0
23.77,5,5,5,5,30.49,1
9.79,2,5,0,4,60.77,0
46.38,2,6,2,4,52.16,0
20.56,2,3,1,3,46.96,0
16.71,3,2,2,1,30.25,0
33.76,2,4,3,4,100.0,1
35.4,3,2,3,4,42.53,0
70.76,1,3,5,5,60.47,0
34.51,2,3,3,5,46.21,1
46.2,4,4,4,3,35.19,1
20.73,3,1,2,4,26.13,0
12.51,3,2,3,3,92.15,1
22.87,0,3,1,1,35.87,0
25.76,5,1,3,3,59.75,0
41.48,3,1,1,1,26.71,0
4.24,5,3,1,5,68.76,0
50.81,3,2,0,2,35.71,0
7.76,2,2,1,5,49.42,1
11.99,3,0,6,1,31.21,1
